n_files,file_name,shape,fold,seed,score
3,5d27096c03f801723c31e5e0_train.csv,"(9100, 4968)",999,1234,2.621154334588418
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",0,1234,4.76435517871882
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",1,1234,4.954652109616727
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",2,1234,5.005034740344206
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",3,1234,5.495088390336486
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",4,1234,4.6326788434880255
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",5,1234,4.626130269992072
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",6,1234,4.974377496496422
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",7,1234,4.934476391569028
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",8,1234,4.9480171913869695
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",9,1234,4.643851270760341
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",10,1234,4.677556386520936
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",11,1234,4.848273502053761
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",12,1234,4.544240392906794
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",13,1234,4.7745752960543
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",14,1234,4.623194078138391
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",15,1234,5.394187949747334
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",16,1234,4.834950275515842
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",17,1234,4.708617346313144
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",18,1234,5.172509401782811
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",19,1234,4.631264069691545
4,5d27097f03f801723c320d97_train.csv,"(10507, 2494)",999,1234,4.8594430734064735
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",0,1234,2.6019449244183646
5,5d27099f03f801723c32511d_train.csv,"(4251, 929)",1,1234,2.6380559737540863
